ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,JLCPCB Part Class,Value,Link
1,10uF,"C1,C5,C8,C9",C0603,4,CL10A106KP8NNNC,"SAMSUNG(三星)",LCSC,C19702,0.007,2,C0603_L1.6-W0.8-H0.8,lcsc,Basic Part,,https://item.szlcsc.com/362304.html
2,100nF,"C4,C6",C0603,2,CC0603KRX7R9BB104,"YAGEO(国巨)",LCSC,C14663,0.002,2,C0603_L1.6-W0.8-H0.8,lcsc,Basic Part,,https://item.szlcsc.com/362304.html
3,1uF,C7,C0805,1,CL21B105KBFNNNE,"SAMSUNG(三星)",LCSC,C28323,0.01,2,C0805_L2.0-W1.3-H1.3,lcsc,Basic Part,,https://item.szlcsc.com/373011.html
4,B2B-PH-K-S(LF)(SN),CN1,CONN-TH_B2B-PH-K-S,1,B2B-PH-K-S(LF)(SN),JST,LCSC,C131337,0.031,2,CONN-TH_PH2.00-LI-2P,LCSC,Extended Part,,https://item.szlcsc.com/142630.html
5,B5819W SL,D1,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,B5819W SL,"CJ(江苏长电/长晶)",LCSC,C8598,0.024,2,SOD-123_L2.7-W1.6-LS3.7-RD-1,lcsc,Basic Part,,https://atta.szlcsc.com/upload/public/pdf/source/20210423/C2828417_EF1BF8BE3D48F97E320B09B073C89160.pdf
6,AO3401A,Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,AOS,LCSC,C15127,0.057,3,SOT-23-3P_L2.9-W1.3-H1.0-LS2.4-P0.95,lcsc,Basic Part,,https://item.szlcsc.com/236142.html
7,5.1kΩ,"R1,R2",R0603,2,0603WAF5101T5E,"UNI-ROYAL(厚声)",LCSC,C23186,0.001,2,R0603,lcsc,Basic Part,,https://www.mouser.in/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_11-1669912.pdf
8,100kΩ,R3,R0603,1,0603WAF1003T5E,"UNI-ROYAL(厚声)",LCSC,C25803,0.001,2,R0603,lcsc,Basic Part,,https://www.mouser.in/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_11-1669912.pdf
9,2kΩ,R4,R0603,1,0603WAF2001T5E,"UNI-ROYAL(厚声)",LCSC,C22975,0.001,2,R0603,lcsc,Basic Part,,https://www.mouser.in/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_11-1669912.pdf
10,10kΩ,"R5,R6,R7,R8",R0603,4,0603WAF1002T5E,"UNI-ROYAL(厚声)",LCSC,C25804,0.001,2,R0603,lcsc,Basic Part,,https://www.mouser.in/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_11-1669912.pdf
11,TS-1088-AR02016,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,"XUNPU(讯普)",LCSC,C720477,0.048,2,SW-SMD_L3.9-W2.9-H2.0-LS4.8,LCSC,Basic Part,,https://item.szlcsc.com/457636.html
12,TP4054A,U1,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-TL,1,TP4054A,"YONGYUTAI(永裕泰)",LCSC,C33551022,0.031,5,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-TL,lcsc,Extended Part,,https://item.szlcsc.com/2162298.html
13,ESP32-C3-WROOM-02-N4(4MB),U5,BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB,1,ESP32-C3-WROOM-02-N4,"ESPRESSIF(乐鑫)",LCSC,C2934560,3.067,27,BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB,LCSC,Extended Part,,https://atta.szlcsc.com/upload/public/pdf/source/20220106/F07459EFFE1D7CBA94B4FB8A075146A6.pdf
14,CH340N_C2977777,U6,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,CH340N,"WCH(南京沁恒)",LCSC,C2977777,0.561,8,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1,LCSC,Extended Part,,https://item.szlcsc.com/383602.html
15,TPS73633DBVR,U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TPS73633DBVR,"TI(德州仪器)",LCSC,C28038,0.422,5,SOT-23-5_L2.9-W1.6-H1.1-LS2.8-P0.95,lcsc,Extended Part,,https://item.szlcsc.com/236104.html
16,TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,韩国韩荣,LCSC,C165948,0.183,16,USB-C_SMD-TYPE-C-31-M-12_1,LCSC,Extended Part,,https://item.szlcsc.com/datasheet/TYPE-C-31-M-12/177331.html
17,1kΩ,R9,R0603,1,0603WAD1001T5E,"UNI-ROYAL(厚声)",LCSC,C51218,0.007,2,R0603,lcsc,Extended Part,1kΩ,https://lcsc.com/eda_search?q=C51218&type=1&ref=editor
18,LED0805-R-RD,LED2,LED0805-R-RD,1,17-215UYC/S530-A3/TR8,"EVERLIGHT(亿光)",LCSC,C72036,0.054,2,LED0805-RD,lcsc,Extended Part,,https://lcsc.com/eda_search?q=C72036&type=1&ref=editor
19,SG90 Micro Servo Motor 9G,,N/A,5,SG90,SopwMap,Amazon,B0DP3VG59G,11.99,3,,,,,https://www.amazon.com/dp/B0DP3VG59G
